STATION,DATE,TMAX,TMIN,TDIF,RAIN?,WT01,WT02,WT03,WT04,WT05,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT22
USW00024233,3/24/2011,61,41,20,3,1,,,,,,,,1,,1,,,,
USW00024233,3/25/2011,55,39,16,4,1,,,,,,,,1,1,1,,,,
USW00024233,3/26/2011,50,37,13,3,1,,,,,,,,1,,1,,,,
USW00024233,3/27/2011,51,39,12,3,1,,,,,,,,1,,1,,,,
USW00024233,3/28/2011,51,41,10,1,,,,,,,,,,,1,,,,
USW00024233,3/29/2011,49,43,6,4,1,,,,,,,,1,1,1,,,,
USW00024233,3/30/2011,51,48,3,4,1,,,,,,,,1,1,1,,,,
USW00024233,3/31/2011,54,46,8,4,1,,,,,,,,1,1,1,,,,
USW00024233,4/1/2011,48,41,7,3,1,,,,,,,,1,,1,,,,
USW00024233,4/2/2011,48,39,9,3,1,,,,,,,,1,,1,,,,
USW00024233,4/3/2011,49,38,11,3,1,,,,,,,,1,,1,,,,
USW00024233,4/4/2011,47,41,6,4,1,,,,,,,,1,1,1,,,,
USW00024233,4/5/2011,46,41,5,3,1,,,,,,,,1,,1,,,,
USW00024233,4/6/2011,48,34,14,3,1,,,,,,,,1,,1,,,,
USW00024233,4/7/2011,49,33,16,4,1,1,,,,,,,1,,1,,,,
USW00024233,4/8/2011,54,34,20,1,1,,,,,,,,,,,,,,
USW00024233,4/9/2011,55,42,13,1,,,,,,,,,,,1,,,,
USW00024233,4/10/2011,55,44,11,2,1,,,,,,,,,,1,,,,
USW00024233,4/11/2011,51,38,13,1,,,,,,,,,,,1,,,,
USW00024233,4/12/2011,53,35,18,0,,,,,,,,,,,,,,,
USW00024233,4/13/2011,48,40,8,2,1,,,,,,,,,,1,,,,
USW00024233,4/14/2011,47,39,8,3,1,,,,,,,,1,,1,,,,
USW00024233,4/15/2011,53,38,15,5,1,,,,,1,,,1,1,1,,,,
USW00024233,4/16/2011,53,42,11,4,1,,,,,,,,1,1,1,,,,
USW00024233,4/17/2011,52,36,16,1,,,,,,,,,,,1,,,,
USW00024233,4/18/2011,51,36,15,2,,,,1,,,,,,,1,,,,
USW00024233,4/19/2011,53,36,17,0,,,,,,,,,,,,,,,
USW00024233,4/20/2011,54,36,18,1,,,,,,,,,,,1,,,,
USW00024233,4/21/2011,53,38,15,1,,,,,,,,,,,1,,,,
USW00024233,4/22/2011,57,38,19,1,,,,,,,,,,,1,,,,
USW00024233,4/23/2011,66,38,28,0,,,,,,,,,,,,,,,
USW00024233,4/24/2011,55,45,10,3,1,,,,,,,,1,,1,,,,
USW00024233,4/25/2011,52,43,9,3,1,,,,,,,,1,,1,,,,
USW00024233,4/26/2011,57,42,15,1,,,,,,,,,,,1,,,,
USW00024233,4/27/2011,52,37,15,3,1,,,,,,,,1,,1,,,,
USW00024233,4/28/2011,51,39,12,1,,,,,,,,,,,1,,,,
USW00024233,4/29/2011,54,39,15,1,,,,,,,,,,,1,,,,
USW00024233,4/30/2011,56,43,13,3,1,,,,,,,,1,,1,,,,
USW00024233,5/1/2011,62,39,23,0,,,,,,,,,,,,,,,
USW00024233,5/2/2011,53,44,9,3,1,,,,,,,,1,,1,,,,
USW00024233,5/3/2011,58,44,14,1,,,,,,,,,,,1,,,,
USW00024233,5/4/2011,62,42,20,0,,,,,,,,,,,,,,,
USW00024233,5/5/2011,57,45,12,2,1,,,,,,,,,,1,,,,
USW00024233,5/6/2011,54,46,8,3,1,,,,,,,,1,,1,,,,
USW00024233,5/7/2011,56,45,11,3,1,,,,,,,,1,,1,,,,
USW00024233,5/8/2011,58,44,14,2,1,,,,,,,,,,1,,,,
USW00024233,5/9/2011,57,47,10,0,,,,,,,,,,,,,,,
USW00024233,5/10/2011,59,47,12,0,,,,,,,,,,,,,,,
USW00024233,5/11/2011,51,42,9,3,1,,,,,,,,1,,1,,,,
USW00024233,5/12/2011,60,38,22,0,,,,,,,,,,,,,,,
USW00024233,5/13/2011,64,41,23,0,,,,,,,,,,,,,,,
USW00024233,5/14/2011,66,48,18,3,1,,,,,,,,1,,1,,,,
USW00024233,5/15/2011,51,47,4,4,1,1,,,,,,,1,,1,,,,
USW00024233,5/16/2011,56,43,13,0,,,,,,,,,,,,,,,
USW00024233,5/17/2011,64,39,25,1,1,,,,,,,,,,,,,,
USW00024233,5/18/2011,66,46,20,0,,,,,,,,,,,,,,,
USW00024233,5/19/2011,68,43,25,0,,,,,,,,,,,,,,,
USW00024233,5/20/2011,70,45,25,0,,,,,,,,,,,,,,,
USW00024233,5/21/2011,54,48,6,3,1,,,,,,,,1,,1,,,,
USW00024233,5/22/2011,60,48,12,0,,,,,,,,,,,,,,,
USW00024233,5/23/2011,63,44,19,0,,,,,,,,,,,,,,,
USW00024233,5/24/2011,65,47,18,0,,,,,,,,,,,,,,,
USW00024233,5/25/2011,56,47,9,3,1,,,,,,,,1,,1,,,,
USW00024233,5/26/2011,61,45,16,1,,,,,,,,,,,1,,,,
USW00024233,5/27/2011,58,46,12,3,1,,,,,1,,,,,1,,,,
USW00024233,5/28/2011,62,45,17,1,,,,,,,,,,,1,,,,
USW00024233,5/29/2011,59,50,9,0,,,,,,,,,,,,,,,
USW00024233,5/30/2011,61,49,12,1,,,,,,,,,,,1,,,,
USW00024233,5/31/2011,61,48,13,3,1,,,,,,,,1,,1,,,,
USW00024233,6/1/2011,59,50,9,3,1,,,,,,,,1,,1,,,,
USW00024233,6/2/2011,61,49,12,3,1,,,,,,,,1,,1,,,,
USW00024233,6/3/2011,68,48,20,0,,,,,,,,,,,,,,,
USW00024233,6/4/2011,78,50,28,0,,,,,,,,,,,,,,,
USW00024233,6/5/2011,71,54,17,0,,,,,,,,,,,,,,,
USW00024233,6/6/2011,72,52,20,0,,,,,,,,,,,,,,,
USW00024233,6/7/2011,64,50,14,4,1,,,,,,,,1,1,1,,,,
USW00024233,6/8/2011,62,49,13,1,,,,,,,,,,,1,,,,
USW00024233,6/9/2011,69,50,19,0,,,,,,,,,,,,,,,
USW00024233,6/10/2011,65,53,12,0,,,,,,,,,,,,,,,
USW00024233,6/11/2011,66,52,14,0,,,,,,,,,,,,,,,
USW00024233,6/12/2011,70,48,22,2,,,,,,,,,,1,1,,,,
USW00024233,6/13/2011,68,52,16,4,1,,,,,,,,1,1,1,,,,
USW00024233,6/14/2011,63,51,12,0,,,,,,,,,,,,,,,
USW00024233,6/15/2011,65,48,17,4,1,,,,,,,,1,1,1,,,,
USW00024233,6/16/2011,70,46,24,0,,,,,,,,,,,,,,,
USW00024233,6/17/2011,71,46,25,0,,,,,,,,,,,,,,,
USW00024233,6/18/2011,58,53,5,4,1,,,,,,,,1,1,1,,,,
USW00024233,6/19/2011,63,51,12,4,1,,,,,,,,1,1,1,,,,
USW00024233,6/20/2011,70,54,16,0,,,,,,,,,,,,,,,
USW00024233,6/21/2011,78,54,24,0,,,,,,,,,,,,,,,
USW00024233,6/22/2011,67,52,15,3,1,,,,,1,,,1,,,,,,
USW00024233,6/23/2011,66,50,16,4,1,,,,,,,,1,1,1,,,,
USW00024233,6/24/2011,67,51,16,3,1,,,,,,,,1,,1,,,,
USW00024233,6/25/2011,68,51,17,1,,,,,,,,,,,1,,,,
USW00024233,6/26/2011,72,48,24,0,,,,,,,,,,,,,,,
USW00024233,6/27/2011,69,58,11,1,,,,,,,,,,,1,,,,
USW00024233,6/28/2011,74,58,16,1,,,,,,,,,,,1,,,,
USW00024233,6/29/2011,67,54,13,1,,,,,,,,,,,1,,,,
USW00024233,6/30/2011,67,53,14,0,,,,,,,,,,,,,,,
USW00024233,7/1/2011,72,49,23,0,,,,,,,,,,,,,,,
USW00024233,7/2/2011,82,52,30,0,,,,,,,,,,,,,,,
USW00024233,7/3/2011,72,56,16,0,,,,,,,,,,,,,,,
USW00024233,7/4/2011,78,51,27,0,,,,,,,,,,,,,,,
USW00024233,7/5/2011,81,51,30,1,,,,,,1,,,,,,,,,
USW00024233,7/6/2011,84,57,27,0,,,,,,,,,,,,,,,
USW00024233,7/7/2011,67,54,13,4,1,,,,,,,,1,1,1,,,,
USW00024233,7/8/2011,71,51,20,0,,,,,,,,,,,,,,,
USW00024233,7/9/2011,74,52,22,0,,,,,,,,,,,,,,,
USW00024233,7/10/2011,76,55,21,0,,,,,,,,,,,,,,,
USW00024233,7/11/2011,75,55,20,1,,,,,,,,,,,1,,,,
USW00024233,7/12/2011,70,57,13,3,1,,,,,,,,1,,1,,,,
USW00024233,7/13/2011,73,55,18,1,,,,,,,,,,,1,,,,
USW00024233,7/14/2011,62,56,6,5,1,,,,,1,,,1,1,1,,,,
USW00024233,7/15/2011,76,56,20,2,1,,,,,,,,,,1,,,,
USW00024233,7/16/2011,74,57,17,4,1,,,,,,,,1,1,1,,,,
USW00024233,7/17/2011,63,55,8,3,1,,,,,,,,1,,1,,,,
USW00024233,7/18/2011,74,50,24,4,1,1,,,,1,,,1,,,,,,
USW00024233,7/19/2011,70,55,15,0,,,,,,,,,,,,,,,
USW00024233,7/20/2011,74,54,20,0,,,,,,,,,,,,,,,
USW00024233,7/21/2011,70,57,13,1,,,,,,,,,,,1,,,,
USW00024233,7/22/2011,72,51,21,0,,,,,,,,,,,,,,,
USW00024233,7/23/2011,79,54,25,0,,,,,,,,,,,,,,,
USW00024233,7/24/2011,83,58,25,0,,,,,,,,,,,,,,,
USW00024233,7/25/2011,63,57,6,3,1,,,,,,,,1,,1,,,,
USW00024233,7/26/2011,70,57,13,0,,,,,,,,,,,,,,,
USW00024233,7/27/2011,72,57,15,0,,,,,,,,,,,,,,,
USW00024233,7/28/2011,78,54,24,0,,,,,,,,,,,,,,,
USW00024233,7/29/2011,76,60,16,0,,,,,,,,,,,,,,,
USW00024233,7/30/2011,79,56,23,0,,,,,,,,,,,,,,,
USW00024233,7/31/2011,71,58,13,2,,,,,,,,,,1,1,,,,
USW00024233,8/1/2011,77,54,23,0,,,,,,,,,,,,,,,
USW00024233,8/2/2011,77,55,22,1,,,,,,1,,,,,,,,,
USW00024233,8/3/2011,79,58,21,0,,,,,,,,,,,,,,,
USW00024233,8/4/2011,81,57,24,1,,,,,,1,,,,,,,,,
USW00024233,8/5/2011,66,57,9,3,1,,,,,,,,1,1,,,,,
USW00024233,8/6/2011,73,58,15,0,,,,,,,,,,,,,,,
USW00024233,8/7/2011,74,56,18,0,,,,,,,,,,,,,,,
USW00024233,8/8/2011,70,54,16,0,,,,,,,,,,,,,,,
USW00024233,8/9/2011,70,55,15,0,,,,,,,,,,,,,,,
USW00024233,8/10/2011,71,55,16,0,,,,,,,,,,,,,,,
USW00024233,8/11/2011,74,54,20,0,,,,,,,,,,,,,,,
USW00024233,8/12/2011,76,52,24,3,1,,,,,1,,,1,,,,,,
USW00024233,8/13/2011,70,53,17,0,,,,,,,,,,,,,,,
USW00024233,8/14/2011,71,55,16,1,,,,,,,,,,,1,,,,
USW00024233,8/15/2011,74,57,17,0,,,,,,,,,,,,,,,
USW00024233,8/16/2011,78,55,23,1,,,,,,1,,,,,,,,,
USW00024233,8/17/2011,77,53,24,1,,,,,,1,,,,,,,,,
USW00024233,8/18/2011,73,54,19,0,,,,,,,,,,,,,,,
USW00024233,8/19/2011,78,53,25,3,1,,,,,1,,,1,,,,,,
USW00024233,8/20/2011,85,59,26,0,,,,,,,,,,,,,,,
USW00024233,8/21/2011,87,59,28,0,,,,,,,,,,,,,,,
USW00024233,8/22/2011,71,60,11,4,1,,,,,,,,1,1,1,,,,
USW00024233,8/23/2011,77,60,17,0,,,,,,,,,,,,,,,
USW00024233,8/24/2011,84,57,27,0,,,,,,,,,,,,,,,
USW00024233,8/25/2011,82,58,24,0,,,,,,,,,,,,,,,
USW00024233,8/26/2011,84,59,25,0,,,,,,,,,,,,,,,
USW00024233,8/27/2011,84,56,28,0,,,,,,,,,,,,,,,
USW00024233,8/28/2011,80,54,26,1,1,,,,,,,,,,,,,,
USW00024233,8/29/2011,70,57,13,2,,,,,,,,,,1,1,,,,
USW00024233,8/30/2011,69,54,15,4,1,,,,,,,,1,1,1,,,,
USW00024233,8/31/2011,69,52,17,0,,,,,,,,,,,,,,,
USW00024233,9/1/2011,73,50,23,2,1,,,,,,,,1,,,,,,
USW00024233,9/2/2011,71,56,15,0,,,,,,,,,,,,,,,
USW00024233,9/3/2011,82,53,29,2,1,,,,,1,,,,,,,,,
USW00024233,9/4/2011,83,52,31,0,,,,,,,,,,,,,,,
USW00024233,9/5/2011,82,54,28,0,,,,,,,,,,,,,,,
USW00024233,9/6/2011,84,53,31,0,,,,,,,,,,,,,,,
USW00024233,9/7/2011,83,54,29,0,,,,,,,,,,,,,,,
USW00024233,9/8/2011,85,58,27,0,,,,,,,,,,,,,,,
USW00024233,9/9/2011,85,56,29,1,1,,,,,,,,,,,,,,
USW00024233,9/10/2011,84,56,28,1,1,,,,,,,,,,,,,,
USW00024233,9/11/2011,85,59,26,0,,,,,,,,,,,,,,,
USW00024233,9/12/2011,68,57,11,0,,,,,,,,,,,,,,,
USW00024233,9/13/2011,64,57,7,3,1,,,,,,,,1,1,,,,,
USW00024233,9/14/2011,67,58,9,0,,,,,,,,,,,,,,,
USW00024233,9/15/2011,65,54,11,0,,,,,,,,,,,,,,,
USW00024233,9/16/2011,64,52,12,0,,,,,,,,,,,,,,,
USW00024233,9/17/2011,62,52,10,3,1,,,,,,,,1,,1,,,,
USW00024233,9/18/2011,65,52,13,4,1,,,,,,,,1,1,1,,,,
USW00024233,9/19/2011,69,54,15,1,,,,,,,,,,1,,,,,
USW00024233,9/20/2011,77,48,29,1,1,,,,,,,,,,,,,,
USW00024233,9/21/2011,76,60,16,1,,,,,,,,,,,1,,,,
USW00024233,9/22/2011,76,62,14,1,,,,,,,,,,,1,,,,
USW00024233,9/23/2011,80,63,17,0,,,,,,,,,,,,,,,
USW00024233,9/24/2011,75,60,15,3,1,,,,,,,,1,,1,,,,
USW00024233,9/25/2011,67,55,12,4,1,,,,,1,,,1,,1,,,,
USW00024233,9/26/2011,61,53,8,3,1,,,,,,,,1,,1,,,,
USW00024233,9/27/2011,65,51,14,3,1,,,,,,,,1,,1,,,,
USW00024233,9/28/2011,65,48,17,0,,,,,,,,,,,,,,,
USW00024233,9/29/2011,77,46,31,0,,,,,,,,,,,,,,,
USW00024233,9/30/2011,65,51,14,1,,,,,,,,,,,1,,,,
USW00024233,10/1/2011,59,50,9,2,,,,,,,,,1,,1,,,,
USW00024233,10/2/2011,64,49,15,2,,,,,,,,,1,,1,,,,
USW00024233,10/3/2011,62,52,10,1,,,,,,,,,,,1,,,,
USW00024233,10/4/2011,63,49,14,1,,,,,,,,,,,1,,,,
USW00024233,10/5/2011,55,49,6,2,,,,,,,,,1,,1,,,,
USW00024233,10/6/2011,58,49,9,2,,,,,,,,,1,,1,,,,
USW00024233,10/7/2011,55,50,5,2,,,,,,,,,1,,1,,,,
USW00024233,10/8/2011,65,46,19,3,,1,,,,,,,1,,1,,,,
USW00024233,10/9/2011,60,51,9,3,,,,,,,,,1,1,1,,,,
USW00024233,10/10/2011,59,51,8,2,,,,,,,,,1,,1,,,,
USW00024233,10/11/2011,59,52,7,2,,,,,,,,,1,,1,,,,
USW00024233,10/12/2011,59,48,11,1,,,,,,,,,,,1,,,,
USW00024233,10/13/2011,59,43,16,2,,1,,,,,,,1,,,,,,
USW00024233,10/14/2011,58,45,13,2,,,,,,,,,1,,1,,,,
USW00024233,10/15/2011,57,43,14,1,,,,,,,,,1,,,,,,
USW00024233,10/16/2011,50,42,8,1,,,,,,,,,1,,,,,,
USW00024233,10/17/2011,61,42,19,1,,,,,,,,,1,,,,,,
USW00024233,10/18/2011,67,45,22,1,,,,,,,,,1,,,,,,
USW00024233,10/19/2011,59,47,12,2,,,,,,,,,1,,1,,,,
USW00024233,10/20/2011,59,47,12,4,,1,,,,,,,1,1,1,,,,
USW00024233,10/21/2011,58,50,8,3,,1,,,,,,,1,,1,,,,
USW00024233,10/22/2011,60,55,5,3,,,,,,,,,1,1,1,,,,
USW00024233,10/23/2011,57,48,9,0,,,,,,,,,,,,,,,
USW00024233,10/24/2011,57,45,12,0,,,,,,,,,,,,,,,
USW00024233,10/25/2011,54,40,14,1,,,,,,,,,1,,,,,,
USW00024233,10/26/2011,50,37,13,2,,,,,,,,,1,,1,,,,
USW00024233,10/27/2011,54,41,13,3,1,1,,,,,,,1,,,,,,
USW00024233,10/28/2011,54,42,12,2,,,,,,,,,1,,1,,,,
USW00024233,10/29/2011,56,44,12,0,,,,,,,,,,,,,,,
USW00024233,10/30/2011,57,44,13,3,,,,,,,,,1,1,1,,,,
USW00024233,10/31/2011,53,42,11,1,,,,,,,,,,,1,,,,
USW00024233,11/1/2011,52,37,15,0,,,,,,,,,,,,,,,
USW00024233,11/2/2011,52,34,18,3,,1,,,,,,,1,,1,,,,
USW00024233,11/3/2011,52,40,12,0,,,,,,,,,,,,,,,
USW00024233,11/4/2011,44,37,7,3,,,,,,1,,,1,,1,,,,
USW00024233,11/5/2011,50,36,14,0,,,,,,,,,,,,,,,
USW00024233,11/6/2011,49,32,17,0,,,,,,,,,,,,,,,
USW00024233,11/7/2011,49,39,10,1,,,,,,,,,,,1,,,,
USW00024233,11/8/2011,55,42,13,1,,,,,,,,,,,1,,,,
USW00024233,11/9/2011,62,46,16,1,,,,,,,,,,,1,,,,
USW00024233,11/10/2011,59,40,19,0,,,,,,,,,,,,,,,
USW00024233,11/11/2011,51,38,13,3,1,,,,,,,,1,,1,,,,
USW00024233,11/12/2011,49,34,15,3,1,,,,,,,,1,,1,,,,
USW00024233,11/13/2011,49,41,8,3,1,,,,,,,,,1,1,,,,
USW00024233,11/14/2011,47,35,12,0,,,,,,,,,,,,,,,
USW00024233,11/15/2011,48,32,16,0,,,,,,,,,,,,,,,
USW00024233,11/16/2011,52,34,18,3,1,,,,,,,,1,,1,,,,
USW00024233,11/17/2011,48,35,13,3,1,,,,,,,,1,,1,,,,
USW00024233,11/18/2011,39,33,6,4,1,1,,,,,,,,1,,,1,,
USW00024233,11/19/2011,41,31,10,1,,,,,,,,,1,,,,,,
USW00024233,11/20/2011,39,27,12,3,,1,,,,,,,1,,,,,,1
USW00024233,11/21/2011,50,33,17,3,1,,,,,,,,1,,1,,,,
USW00024233,11/22/2011,52,41,11,3,1,,,,,,,,1,,1,,,,
USW00024233,11/23/2011,53,40,13,3,1,,,,,,,,1,,1,,,,
USW00024233,11/24/2011,45,37,8,1,,,,,,,,,,,1,,,,
USW00024233,11/25/2011,48,36,12,0,,,,,,,,,,,,,,,
USW00024233,11/26/2011,51,41,10,2,,,,,,,,,,1,1,,,,
USW00024233,11/27/2011,56,44,12,3,1,,,,,,,,1,,1,,,,
USW00024233,11/28/2011,48,37,11,1,,,,,,,,,,,1,,,,
USW00024233,11/29/2011,44,35,9,3,1,,,,,,,,1,,1,,,,
USW00024233,11/30/2011,45,37,8,0,,,,,,,,,,,,,,,
USW00024233,12/1/2011,41,29,12,4,1,1,,,,,,,,,1,,,,1
USW00024233,12/2/2011,44,32,12,3,1,,,,,,,,1,,1,,,,
USW00024233,12/3/2011,42,31,11,2,1,,,,,,,,1,,,,,,
USW00024233,12/4/2011,43,31,12,2,1,,,,,,,,1,,,,,,
USW00024233,12/5/2011,42,28,14,3,1,1,,,,,,,1,,,,,,
USW00024233,12/6/2011,38,28,10,3,,1,,,,,,,1,,,,,,1
USW00024233,12/7/2011,41,35,6,4,1,1,,,,1,,,1,,,,,,
USW00024233,12/8/2011,40,32,8,0,,,,,,,,,,,,,,,
USW00024233,12/9/2011,40,26,14,4,,1,,,,1,,,1,,,,,,1
USW00024233,12/10/2011,40,31,9,2,,,,,,,,,1,,1,,,,
USW00024233,12/11/2011,40,35,5,3,,1,,,,,,,1,,1,,,,
USW00024233,12/12/2011,39,28,11,4,1,1,,,,,,,1,,,,,,1
USW00024233,12/13/2011,41,26,15,2,,1,,,,,,,,,,,,,1
USW00024233,12/14/2011,40,33,7,1,,,,,,,,,,,1,,,,
USW00024233,12/15/2011,44,38,6,4,1,,,,,,,,1,1,1,,,,
USW00024233,12/16/2011,49,40,9,0,,,,,,,,,,,,,,,
USW00024233,12/17/2011,50,33,17,3,1,1,,,,,,,1,,,,,,
USW00024233,12/18/2011,46,35,11,4,1,,,,,,,,1,1,1,,,,
USW00024233,12/19/2011,46,36,10,2,1,,,,,,,,1,,,,,,
USW00024233,12/20/2011,44,37,7,3,1,,,,,,,,1,1,,,,,
USW00024233,12/21/2011,45,32,13,2,1,,,,,,,,1,,,,,,
USW00024233,12/22/2011,38,27,11,4,1,1,,,,,,,1,,,,,,1
USW00024233,12/23/2011,49,35,14,4,1,,,,,,,,1,1,1,,,,
USW00024233,12/24/2011,52,43,9,2,,,,,,,,,,1,1,,,,
USW00024233,12/25/2011,50,37,13,1,,,,,,,,,,,1,,,,
USW00024233,12/26/2011,42,37,5,1,,,,,,,,,,,1,,,,
USW00024233,12/27/2011,51,40,11,3,1,,,,,,,,1,,1,,,,
USW00024233,12/28/2011,53,48,5,3,1,,,,,,,,1,,1,,,,
USW00024233,12/29/2011,51,44,7,3,1,,,,,,,,1,,1,,,,
USW00024233,12/30/2011,49,36,13,2,1,,,,,,,,,,1,,,,
USW00024233,12/31/2011,43,32,11,0,,,,,,,,,,,,,,,
USW00024233,1/1/2012,55,41,14,1,,,,,,,,,,1,,,,,
